ProductKey,ProductCode,ProductSubCategory,ProductName,StandardCost,Color,ProductCategory
530,TT-T092,Tires And Tubes,Touring Tire Tube,1.8663,NA,PC-Accessories
582,BK-R79Y-44,Road Bikes,"Road-350-W Yellow, 44",1082.5100,Yellow,PC-Bikes
598,BK-M18B-44,Mountain Bikes,"Mountain-500 Black, 44",294.5797,Black,PC-Bikes
353,BK-M68S-38,Mountain Bikes,"Mountain-200 Silver, 38",1265.6195,Silver,PC-Bikes
225,CA-1098,Caps,AWC Logo Cap,6.9223,Multi,PC-Clothing
574,BK-T79U-50,Touring Bikes,"Touring-1000 Blue, 50",1481.9379,Blue,PC-Bikes
412,FW-M928,Wheels,HL Mountain Front Wheel,133.2955,Black,PC-Components
472,VE-C304-M,Vests,"Classic Vest, M",23.7490,Blue,PC-Clothing
221,HL-U509-B,Helmets,"Sport-100 Helmet, Blue",13.8782,Blue,PC-Accessories
332,BK-R50B-58,Road Bikes,"Road-650 Black, 58",413.1463,Black,PC-Bikes
314,BK-R93R-56,Road Bikes,"Road-150 Red, 56",2171.2942,Red,PC-Bikes
241,FR-R92R-44,Road Frames,"HL Road Frame - Red, 44",747.9682,Red,PC-Components
511,FR-M63S-40,Mountain Frames,"ML Mountain Frame-W - Silver, 40",199.3757,Silver,PC-Components
265,FR-R38R-48,Road Frames,"LL Road Frame - Red, 48",187.1571,Red,PC-Components
388,BK-R64Y-44,Road Bikes,"Road-550-W Yellow, 44",713.0798,Yellow,PC-Bikes
251,FR-R92R-56,Road Frames,"HL Road Frame - Red, 56",722.2568,Red,PC-Components
366,BK-M47B-44,Mountain Bikes,"Mountain-300 Black, 44",598.4354,Black,PC-Bikes
299,FR-M94B-44,Mountain Frames,"HL Mountain Frame - Black, 44",699.0928,Black,PC-Components
422,RW-R623,Wheels,LL Road Rear Wheel,49.9789,Black,PC-Components
436,FR-R72Y-48,Road Frames,"ML Road Frame-W - Yellow, 48",360.9428,Yellow,PC-Components
562,BK-T79Y-50,Touring Bikes,"Touring-1000 Yellow, 50",1481.9379,Yellow,PC-Bikes
355,BK-M68S-42,Mountain Bikes,"Mountain-200 Silver, 42",1265.6195,Silver,PC-Bikes
389,BK-R64Y-48,Road Bikes,"Road-550-W Yellow, 48",605.6492,Yellow,PC-Bikes
453,SH-M897-M,Shorts,"Men's Sports Shorts, M",24.7459,Black,PC-Clothing
583,BK-R79Y-48,Road Bikes,"Road-350-W Yellow, 48",1082.5100,Yellow,PC-Bikes
510,FR-T67U-44,Touring Frames,"LL Touring Frame - Blue, 44",199.8519,Blue,PC-Components
570,BK-T18Y-54,Touring Bikes,"Touring-3000 Yellow, 54",461.4448,Yellow,PC-Bikes
226,LJ-0192-S,Jerseys,"Long-Sleeve Logo Jersey, S",31.7244,Multi,PC-Clothing
240,FR-R92R-62,Road Frames,"HL Road Frame - Red, 62",868.6342,Red,PC-Components
297,FR-M94B-42,Mountain Frames,"HL Mountain Frame - Black, 42",653.6971,Black,PC-Components
419,RW-M423,Wheels,LL Mountain Rear Wheel,38.9588,Black,PC-Components
433,FR-R72Y-44,Road Frames,"ML Road Frame-W - Yellow, 44",300.1188,Yellow,PC-Components
594,BK-M18S-48,Mountain Bikes,"Mountain-500 Silver, 48",308.2179,Silver,PC-Bikes
425,RW-T905,Wheels,Touring Rear Wheel,108.7844,Black,PC-Components
523,SE-T924,Saddles,HL Touring Seat/Saddle,23.3722,NA,PC-Components
478,BC-M005,Bottles And Cages,Mountain Bottle Cage,3.7363,NA,PC-Accessories
290,FR-M94S-42,Mountain Frames,"HL Mountain Frame - Silver, 42",747.2002,Silver,PC-Components
295,FR-M94S-46,Mountain Frames,"HL Mountain Frame - Silver, 46",747.2002,Silver,PC-Components
322,BK-R50R-60,Road Bikes,"Road-650 Red, 60",413.1463,Red,PC-Bikes
301,FR-M94B-46,Mountain Frames,"HL Mountain Frame - Black, 46",617.0281,Black,PC-Components
448,PU-0452,Pumps,Minipump,8.2459,NA,PC-Accessories
529,TT-R982,Tires And Tubes,Road Tire Tube,1.4923,NA,PC-Accessories
518,SE-R581,Saddles,LL Road Seat/Saddle,12.0413,NA,PC-Components
393,FK-9939,Forks,HL Fork,101.8936,NA,PC-Components
537,TI-M823,Tires And Tubes,HL Mountain Tire,13.0900,NA,PC-Accessories
487,HY-1023-70,Hydration Packs,Hydration Pack - 70 oz.,20.5663,Silver,PC-Accessories
533,FR-M21B-48,Mountain Frames,"LL Mountain Frame - Black, 48",136.7850,Black,PC-Components
559,CH-0234,Chains,Chain,8.9866,Silver,PC-Components
466,GL-H102-L,Gloves,"Half-Finger Gloves, L",9.7136,Black,PC-Clothing
474,SH-W890-S,Shorts,"Women's Mountain Shorts, S",26.1763,Black,PC-Clothing
219,SO-B909-L,Socks,"Mountain Bike Socks, L",3.3963,White,PC-Clothing
371,BK-R89R-58,Road Bikes,"Road-250 Red, 58",1320.6838,Red,PC-Bikes
464,GL-H102-M,Gloves,"Half-Finger Gloves, M",9.7136,Black,PC-Clothing
553,HB-T721,Handlebars,LL Touring Handlebars,20.4640,NA,PC-Components
